cluster_size,latitude,longitude
14106,40.717418199561195,-73.98969271783189
3959,41.878146089072374,-87.62981613127837
2783,33.448426357054586,-112.07400899942246
2834,38.8860874440896,-77.04786364630107
2293,33.446651917979594,-111.90215474704351
1641,37.686624318316575,-122.40921976477392
2120,37.78598608586879,-122.4240317345107
1817,33.7675440624864,-84.39376674512552
1653,42.36341388216272,-71.07425940923603
1527,47.60656864197819,-122.33207596404898
1000,34.06517105318187,-118.2659182049213
1279,33.357140867974685,-111.82363028210385
1124,44.97836331715594,-93.26793803665194
1194,36.11828854916344,-115.17041736960026
1129,30.26731591461518,-97.74304079450799
1034,39.95219344672305,-75.16384341029037
747,40.768083799999836,-73.83583128050611
984,32.9808966941112,-117.07791108182886
662,34.03403550835242,-118.43467960125824
775,28.54329558404782,-81.37627617380834
803,39.73477481959097,-104.9884086567296
774,32.80328885710544,-96.76956904987064
664,43.04083458717274,-87.91241745848268
523,34.126966545441725,-118.35129989350763
630,-6.2128615399088485,106.84342664127531
646,25.78679468009212,-80.21495012802507
649,29.76217262727226,-95.3832257138663
652,37.343432553311416,-121.90740538112573
582,45.522592240917064,-122.67570322376797
617,37.393243368158046,-122.09059842030956
504,33.81485710992775,-117.89573319133697
550,32.71645404990842,-117.15847121082511
542,43.653268239902495,-79.38290105893354
461,32.22174289999977,-110.92647900000101
459,27.949453717778,-82.46502017666644
426,39.2870491261852,-76.61298516659231
353,33.7200613959275,-117.8201898760181
331,40.78476944845582,-74.17671816935886
405,39.995739343596235,-83.00010113497571
385,39.76825962181831,-86.15786634000047
395,33.87342106753253,-118.36742220753254
419,37.80419357362941,-122.26813641592707
383,35.22755920548325,-80.84327367127992
94,34.15976510313329,-118.23054748877227
361,39.09838121195667,-94.58510425489057
392,47.64119149847004,-122.17530330686584
310,40.438428950919985,-79.99723369723925
323,33.64299510750007,-117.94447733562504
364,40.7066168335464,-73.60331756932888
297,40.87038790431887,-73.85974237541546
307,51.50402106333331,-0.12605220266666708
287,38.645200514675544,-90.22493577679123
145,34.189321061379324,-118.44558926241353
271,33.80834895674737,-118.1471090996543
285,29.42471504181166,-98.49389762090657
235,34.12680896057936,-118.12521138433797
277,35.77045729676259,-78.63765019028752
331,33.557815370289696,-112.21052679492833
247,44.96062389490899,-93.11773951309054
223,38.88019032919695,-77.2398275218975
199,26.109602354212473,-80.15631452747245
268,37.54030104419489,-122.29735539662914
305,40.88511883609017,-74.10122301691717
222,41.49051700459768,-81.70650749157065
233,29.96528516409279,-90.080318693822
198,39.001875279995886,-77.13246098936385
208,38.98361300294117,-77.39941501638651
216,38.581527804147605,-121.49602399216606
208,37.54297899999988,-77.46909199999973
